company,date,hour,consumption
Hanwha Main,2022-01-01,0,0.0
Hanwha Main,2022-01-01,1,0.0
Hanwha Main,2022-01-01,2,0.0
Hanwha Main,2022-01-01,3,0.0
Hanwha Main,2022-01-01,4,0.0
Hanwha Main,2022-01-01,5,0.0
Hanwha Main,2022-01-01,6,0.0
Hanwha Main,2022-01-01,7,0.0
Hanwha Main,2022-01-01,8,0.0
Hanwha Main,2022-01-01,9,0.0
Hanwha Main,2022-01-01,10,0.0
Hanwha Main,2022-01-01,11,0.0
Hanwha Main,2022-01-01,12,0.0
Hanwha Main,2022-01-01,13,0.0
Hanwha Main,2022-01-01,14,0.0
Hanwha Main,2022-01-01,15,0.0
Hanwha Main,2022-01-01,16,0.0
Hanwha Main,2022-01-01,17,0.0
Hanwha Main,2022-01-01,18,0.0
Hanwha Main,2022-01-01,19,0.0
Hanwha Main,2022-01-01,20,0.0
Hanwha Main,2022-01-01,21,0.0
Hanwha Main,2022-01-01,22,0.0
Hanwha Main,2022-01-01,23,0.0
Hanwha Main,2022-01-02,0,0.0
Hanwha Main,2022-01-02,1,0.0
Hanwha Main,2022-01-02,2,0.0
Hanwha Main,2022-01-02,3,0.0
Hanwha Main,2022-01-02,4,0.0
Hanwha Main,2022-01-02,5,0.0
Hanwha Main,2022-01-02,6,0.0
Hanwha Main,2022-01-02,7,0.0
Hanwha Main,2022-01-02,8,0.0
Hanwha Main,2022-01-02,9,0.0
Hanwha Main,2022-01-02,10,0.0
Hanwha Main,2022-01-02,11,0.0
Hanwha Main,2022-01-02,12,0.0
Hanwha Main,2022-01-02,13,0.0
Hanwha Main,2022-01-02,14,0.0
Hanwha Main,2022-01-02,15,0.0
Hanwha Main,2022-01-02,16,0.0
Hanwha Main,2022-01-02,17,0.0
Hanwha Main,2022-01-02,18,0.0
Hanwha Main,2022-01-02,19,0.0
Hanwha Main,2022-01-02,20,0.0
Hanwha Main,2022-01-02,21,0.0
Hanwha Main,2022-01-02,22,0.0
Hanwha Main,2022-01-02,23,0.0
Hanwha Main,2022-01-03,0,0.0
Hanwha Main,2022-01-03,1,0.0
Hanwha Main,2022-01-03,2,0.0
Hanwha Main,2022-01-03,3,0.0
Hanwha Main,2022-01-03,4,0.0
Hanwha Main,2022-01-03,5,0.0
Hanwha Main,2022-01-03,6,0.0
